Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Mar 2 2005,10:30p,Dallas Mavericks,92,Los Angeles Clippers,101,Box Score,,16531,
Thu Mar 3 2005,7:30p,Miami Heat,106,New Jersey Nets,90,Box Score,,17353,
Thu Mar 3 2005,8:00p,Indiana Pacers,87,DEN,96,Box Score,,17811,
Thu Mar 3 2005,10:30p,Detroit Pistons,97,Phoenix Suns,100,Box Score,,18422,
Fri Mar 4 2005,7:00p,New York Knicks,89,Orlando Magic,111,Box Score,,16007,
Fri Mar 4 2005,7:00p,Cleveland Cavaliers,89,Philadelphia 76ers,98,Box Score,,20883,
Fri Mar 4 2005,7:00p,Golden State Warriors,103,Washington Wizards,90,Box Score,,16541,
Fri Mar 4 2005,7:30p,Charlotte Bobcats,84,Boston Celtics,104,Box Score,,17011,
Fri Mar 4 2005,8:00p,Toronto Raptors,75,Memphis Grizzlies,86,Box Score,,18119,
Fri Mar 4 2005,8:00p,Sacramento Kings,83,Miami Heat,104,Box Score,,20122,
Fri Mar 4 2005,8:00p,Milwaukee Bucks,97,Minnesota Timberwolves,103,Box Score,,18779,
Fri Mar 4 2005,8:00p,Utah Jazz,85,New Orleans Hornets,92,Box Score,,14681,
Fri Mar 4 2005,8:30p,Chicago Bulls,99,San Antonio Spurs,102,Box Score,,18797,
Fri Mar 4 2005,10:00p,Indiana Pacers,106,POR,97,Box Score,,16263,
Fri Mar 4 2005,10:30p,Dallas Mavericks,103,Los Angeles Lakers,108,Box Score,,18997,
Fri Mar 4 2005,10:30p,Detroit Pistons,87,SEA,95,Box Score,,17072,
Sat Mar 5 2005,7:00p,Philadelphia 76ers,98,Atlanta Hawks,97,Box Score,,19446,
Sat Mar 5 2005,7:00p,Washington Wizards,86,Charlotte Bobcats,84,Box Score,,15301,
Sat Mar 5 2005,7:30p,Orlando Magic,105,New Jersey Nets,81,Box Score,,16101,
Sat Mar 5 2005,8:30p,Chicago Bulls,87,Milwaukee Bucks,95,Box Score,,18717,
Sat Mar 5 2005,9:00p,POR,116,Phoenix Suns,129,Box Score,,18422,
Sat Mar 5 2005,10:30p,DEN,105,Los Angeles Clippers,89,Box Score,,18423,
Sun Mar 6 2005,1:00p,Dallas Mavericks,69,Houston Rockets,90,Box Score,,18195,
Sun Mar 6 2005,3:30p,Detroit Pistons,85,Sacramento Kings,100,Box Score,,17317,
Sun Mar 6 2005,6:00p,Minnesota Timberwolves,99,Boston Celtics,97,Box Score,,17242,
Sun Mar 6 2005,7:00p,Toronto Raptors,95,New Orleans Hornets,84,Box Score,,10638,
Sun Mar 6 2005,7:00p,Utah Jazz,94,San Antonio Spurs,101,Box Score,,18797,
Sun Mar 6 2005,7:30p,Miami Heat,102,Cleveland Cavaliers,82,Box Score,,20562,
Sun Mar 6 2005,7:30p,Golden State Warriors,99,New York Knicks,115,Box Score,,19763,
Sun Mar 6 2005,9:00p,Phoenix Suns,110,SEA,99,Box Score,,17072,
Sun Mar 6 2005,9:30p,Indiana Pacers,94,Los Angeles Lakers,103,Box Score,,18997,
Mon Mar 7 2005,7:30p,Philadelphia 76ers,100,Miami Heat,108,Box Score,,20261,
Mon Mar 7 2005,8:30p,Milwaukee Bucks,85,Chicago Bulls,90,Box Score,,20042,
Mon Mar 7 2005,8:30p,Toronto Raptors,105,Dallas Mavericks,113,Box Score,,19509,
Mon Mar 7 2005,9:00p,POR,98,DEN,111,Box Score,,18707,
Mon Mar 7 2005,10:30p,Memphis Grizzlies,105,Los Angeles Clippers,102,Box Score,,15754,
Tue Mar 8 2005,7:00p,Orlando Magic,92,Cleveland Cavaliers,111,Box Score,,18148,
Tue Mar 8 2005,7:00p,Golden State Warriors,104,Philadelphia 76ers,85,Box Score,,17990,
Tue Mar 8 2005,7:30p,Washington Wizards,83,New York Knicks,93,Box Score,,19763,
Tue Mar 8 2005,8:00p,Atlanta Hawks,101,Milwaukee Bucks,105,Box Score,,13117,
Tue Mar 8 2005,8:00p,Charlotte Bobcats,97,Minnesota Timberwolves,102,Box Score,,16333,
Tue Mar 8 2005,8:30p,New Jersey Nets,74,San Antonio Spurs,90,Box Score,,17588,
Tue Mar 8 2005,9:00p,Indiana Pacers,89,Utah Jazz,83,Box Score,,18452,
Tue Mar 8 2005,10:00p,Memphis Grizzlies,82,Sacramento Kings,85,Box Score,,17317,
Tue Mar 8 2005,10:00p,Houston Rockets,97,SEA,95,Box Score,,17072,
Tue Mar 8 2005,10:30p,Los Angeles Clippers,110,Los Angeles Lakers,101,Box Score,,18225,
Wed Mar 9 2005,7:00p,Atlanta Hawks,91,Boston Celtics,95,Box Score,,16089,
Wed Mar 9 2005,7:00p,Orlando Magic,96,Toronto Raptors,106,Box Score,,17362,
Wed Mar 9 2005,7:30p,Golden State Warriors,88,Detroit Pistons,92,Box Score,,22076,
Wed Mar 9 2005,8:00p,New Jersey Nets,86,New Orleans Hornets,85,Box Score,OT,11569,
Wed Mar 9 2005,9:00p,San Antonio Spurs,101,Phoenix Suns,107,Box Score,,18422,
Wed Mar 9 2005,10:00p,Chicago Bulls,97,POR,84,Box Score,,14251,
Thu Mar 10 2005,7:00p,Minnesota Timberwolves,90,Miami Heat,107,Box Score,,19854,
Thu Mar 10 2005,9:30p,Los Angeles Lakers,100,Dallas Mavericks,95,Box Score,,20411,
Fri Mar 11 2005,7:00p,Golden State Warriors,83,Indiana Pacers,101,Box Score,,18345,
Fri Mar 11 2005,7:00p,Minnesota Timberwolves,101,Orlando Magic,96,Box Score,,16326,
Fri Mar 11 2005,7:00p,Charlotte Bobcats,80,Philadelphia 76ers,112,Box Score,,19765,
Fri Mar 11 2005,7:00p,Atlanta Hawks,116,Toronto Raptors,112,Box Score,OT,17890,
Fri Mar 11 2005,7:30p,Detroit Pistons,113,Boston Celtics,115,Box Score,2OT,18624,
Fri Mar 11 2005,8:30p,Dallas Mavericks,112,Milwaukee Bucks,110,Box Score,,16489,
Fri Mar 11 2005,9:00p,Houston Rockets,127,Phoenix Suns,107,Box Score,,18422,
Fri Mar 11 2005,9:00p,Memphis Grizzlies,94,Utah Jazz,82,Box Score,,18468,
Fri Mar 11 2005,10:00p,Los Angeles Clippers,112,Sacramento Kings,113,Box Score,,17317,
Fri Mar 11 2005,10:30p,Chicago Bulls,100,SEA,97,Box Score,,17072,
Sat Mar 12 2005,1:00p,New Jersey Nets,65,Miami Heat,90,Box Score,,20054,
Sat Mar 12 2005,7:00p,Golden State Warriors,105,Atlanta Hawks,92,Box Score,,17417,
Sat Mar 12 2005,7:00p,Los Angeles Lakers,117,Charlotte Bobcats,116,Box Score,,23319,
Sat Mar 12 2005,8:00p,Milwaukee Bucks,107,New Orleans Hornets,111,Box Score,,14899,
Sat Mar 12 2005,8:30p,DEN,90,San Antonio Spurs,87,Box Score,,18797,
Sat Mar 12 2005,10:00p,Memphis Grizzlies,66,POR,80,Box Score,,17553,
Sun Mar 13 2005,1:00p,Dallas Mavericks,102,Minnesota Timberwolves,93,Box Score,,19420,
Sun Mar 13 2005,3:30p,Chicago Bulls,78,Los Angeles Clippers,83,Box Score,,19060,
Sun Mar 13 2005,3:30p,Houston Rockets,111,Sacramento Kings,96,Box Score,,17317,
Sun Mar 13 2005,6:00p,Washington Wizards,101,Boston Celtics,105,Box Score,,17190,
Sun Mar 13 2005,6:00p,Utah Jazz,62,Detroit Pistons,64,Box Score,,22076,
Sun Mar 13 2005,6:00p,SEA,90,New York Knicks,80,Box Score,,19763,
Sun Mar 13 2005,6:00p,New Jersey Nets,98,Orlando Magic,82,Box Score,,14007,
Sun Mar 13 2005,6:00p,Philadelphia 76ers,110,Toronto Raptors,128,Box Score,,19800,
Sun Mar 13 2005,7:00p,Indiana Pacers,86,Cleveland Cavaliers,98,Box Score,,20562,
Sun Mar 13 2005,9:00p,Phoenix Suns,106,DEN,101,Box Score,,19566,
Mon Mar 14 2005,7:00p,Boston Celtics,119,Charlotte Bobcats,110,Box Score,,11103,
Mon Mar 14 2005,7:00p,Los Angeles Lakers,81,Washington Wizards,95,Box Score,,20173,
Mon Mar 14 2005,7:30p,Detroit Pistons,114,Atlanta Hawks,108,Box Score,OT,15733,
Mon Mar 14 2005,7:30p,Milwaukee Bucks,71,Miami Heat,110,Box Score,,19600,
Mon Mar 14 2005,8:00p,POR,83,Memphis Grizzlies,104,Box Score,,16165,
Mon Mar 14 2005,8:30p,New Orleans Hornets,89,San Antonio Spurs,112,Box Score,,18797,
Mon Mar 14 2005,10:30p,Houston Rockets,97,Golden State Warriors,94,Box Score,,19147,
Tue Mar 15 2005,7:00p,Utah Jazz,73,Cleveland Cavaliers,92,Box Score,,19794,
Tue Mar 15 2005,7:00p,Los Angeles Lakers,91,Philadelphia 76ers,108,Box Score,,20778,
Tue Mar 15 2005,7:30p,Miami Heat,98,New York Knicks,96,Box Score,,19763,
Tue Mar 15 2005,8:30p,SEA,99,Chicago Bulls,93,Box Score,,21762,
Tue Mar 15 2005,8:30p,Minnesota Timberwolves,100,Dallas Mavericks,91,Box Score,,20434,
Tue Mar 15 2005,10:00p,Orlando Magic,94,Sacramento Kings,105,Box Score,,17317,
Wed Mar 16 2005,7:00p,Toronto Raptors,109,Boston Celtics,110,Box Score,,17020,
Wed Mar 16 2005,7:00p,Utah Jazz,84,Indiana Pacers,103,Box Score,,14754,
Wed Mar 16 2005,7:30p,Washington Wizards,122,Atlanta Hawks,93,Box Score,,12848,
Wed Mar 16 2005,7:30p,SEA,95,Detroit Pistons,102,Box Score,,22076,
Wed Mar 16 2005,7:30p,Chicago Bulls,84,New Jersey Nets,100,Box Score,,14244,
Wed Mar 16 2005,8:00p,Cleveland Cavaliers,88,Milwaukee Bucks,96,Box Score,,17624,
Wed Mar 16 2005,8:00p,Memphis Grizzlies,88,New Orleans Hornets,82,Box Score,,14164,
Wed Mar 16 2005,8:30p,POR,77,Houston Rockets,108,Box Score,,18007,
Wed Mar 16 2005,9:00p,Charlotte Bobcats,101,DEN,120,Box Score,,16527,
Wed Mar 16 2005,9:00p,Minnesota Timberwolves,73,San Antonio Spurs,89,Box Score,,18797,
Wed Mar 16 2005,10:30p,Orlando Magic,102,Los Angeles Clippers,110,Box Score,,18054,
Thu Mar 17 2005,8:00p,Los Angeles Lakers,89,Miami Heat,102,Box Score,,20272,
Thu Mar 17 2005,8:30p,POR,94,Dallas Mavericks,98,Box Score,,20092,
Thu Mar 17 2005,10:30p,Sacramento Kings,97,Golden State Warriors,100,Box Score,,17836,
Fri Mar 18 2005,7:30p,New York Knicks,106,Atlanta Hawks,92,Box Score,,16027,
Fri Mar 18 2005,7:30p,Philadelphia 76ers,93,Cleveland Cavaliers,81,Box Score,,20562,
Fri Mar 18 2005,7:30p,Los Angeles Lakers,97,Indiana Pacers,103,Box Score,,18345,
Fri Mar 18 2005,7:30p,Utah Jazz,80,New Jersey Nets,94,Box Score,,15509,
Fri Mar 18 2005,8:00p,Toronto Raptors,92,Detroit Pistons,103,Box Score,,22076,
Fri Mar 18 2005,8:00p,Minnesota Timberwolves,83,Memphis Grizzlies,88,Box Score,,18119,
Fri Mar 18 2005,8:30p,New Orleans Hornets,94,Chicago Bulls,90,Box Score,,22217,
Fri Mar 18 2005,8:30p,Boston Celtics,103,Houston Rockets,92,Box Score,,18219,
Fri Mar 18 2005,8:30p,Washington Wizards,90,Milwaukee Bucks,99,Box Score,,15108,
Fri Mar 18 2005,8:30p,Charlotte Bobcats,76,San Antonio Spurs,93,Box Score,,17798,
Fri Mar 18 2005,9:00p,Los Angeles Clippers,96,DEN,115,Box Score,,18915,
Fri Mar 18 2005,9:00p,Golden State Warriors,110,Phoenix Suns,100,Box Score,,18422,
Fri Mar 18 2005,10:30p,Orlando Magic,90,SEA,98,Box Score,,17072,
Sat Mar 19 2005,7:00p,Chicago Bulls,94,Philadelphia 76ers,88,Box Score,,20599,
Sat Mar 19 2005,7:00p,Utah Jazz,95,Washington Wizards,96,Box Score,,20173,
Sat Mar 19 2005,7:30p,New York Knicks,82,Miami Heat,97,Box Score,,20268,
Sat Mar 19 2005,8:00p,Boston Celtics,113,New Orleans Hornets,100,Box Score,,17059,
Sat Mar 19 2005,8:30p,Charlotte Bobcats,93,Dallas Mavericks,104,Box Score,,20331,
Sat Mar 19 2005,10:00p,Orlando Magic,97,POR,92,Box Score,,15395,
Sat Mar 19 2005,10:30p,Sacramento Kings,111,Los Angeles Clippers,107,Box Score,OT,19816,
Sun Mar 20 2005,1:00p,Cleveland Cavaliers,98,Toronto Raptors,105,Box Score,,19800,
Sun Mar 20 2005,3:30p,San Antonio Spurs,101,Detroit Pistons,110,Box Score,,22076,
Sun Mar 20 2005,3:30p,New Jersey Nets,94,Indiana Pacers,85,Box Score,,18345,
Sun Mar 20 2005,3:30p,Phoenix Suns,97,Memphis Grizzlies,91,Box Score,,18119,
Sun Mar 20 2005,7:30p,Houston Rockets,86,Minnesota Timberwolves,94,Box Score,,18071,
Sun Mar 20 2005,9:00p,Milwaukee Bucks,103,DEN,114,Box Score,,16816,
Sun Mar 20 2005,9:00p,Golden State Warriors,104,Sacramento Kings,94,Box Score,,17317,
Sun Mar 20 2005,9:30p,SEA,102,Los Angeles Lakers,100,Box Score,,18997,
Mon Mar 21 2005,7:00p,Orlando Magic,97,Charlotte Bobcats,102,Box Score,,10727,
Mon Mar 21 2005,7:30p,San Antonio Spurs,75,New York Knicks,88,Box Score,,19763,
Mon Mar 21 2005,8:30p,Atlanta Hawks,91,Chicago Bulls,105,Box Score,,21945,
Mon Mar 21 2005,8:30p,New Orleans Hornets,86,Dallas Mavericks,103,Box Score,,19997,
Mon Mar 21 2005,10:30p,POR,89,Los Angeles Clippers,96,Box Score,,16498,
Tue Mar 22 2005,7:00p,Detroit Pistons,76,Cleveland Cavaliers,91,Box Score,,20562,
Tue Mar 22 2005,7:30p,Phoenix Suns,105,Atlanta Hawks,94,Box Score,,14521,
Tue Mar 22 2005,7:30p,Indiana Pacers,91,New Jersey Nets,98,Box Score,,14532,
Tue Mar 22 2005,9:00p,Washington Wizards,98,DEN,127,Box Score,,16712,
Tue Mar 22 2005,9:00p,Los Angeles Lakers,107,Utah Jazz,115,Box Score,,18746,
Tue Mar 22 2005,9:30p,Miami Heat,82,Houston Rockets,84,Box Score,,18292,
Tue Mar 22 2005,10:00p,POR,93,Sacramento Kings,112,Box Score,,17317,
Tue Mar 22 2005,10:00p,Milwaukee Bucks,84,SEA,92,Box Score,,16197,
Wed Mar 23 2005,7:00p,Phoenix Suns,120,Charlotte Bobcats,105,Box Score,,11664,
Wed Mar 23 2005,7:00p,San Antonio Spurs,93,Indiana Pacers,100,Box Score,,16560,
Wed Mar 23 2005,7:00p,Chicago Bulls,94,Toronto Raptors,85,Box Score,,16974,
Wed Mar 23 2005,7:30p,Boston Celtics,82,New York Knicks,107,Box Score,,19763,
Wed Mar 23 2005,8:00p,New Orleans Hornets,102,Minnesota Timberwolves,107,Box Score,,15877,
Wed Mar 23 2005,8:00p,Detroit Pistons,84,Philadelphia 76ers,107,Box Score,,19522,
Wed Mar 23 2005,10:30p,Dallas Mavericks,109,Golden State Warriors,97,Box Score,,16183,
Wed Mar 23 2005,10:30p,Milwaukee Bucks,108,Los Angeles Clippers,116,Box Score,,17708,
Thu Mar 24 2005,7:00p,Charlotte Bobcats,108,Orlando Magic,94,Box Score,,14431,
Thu Mar 24 2005,7:30p,Memphis Grizzlies,105,New Jersey Nets,96,Box Score,,13732,
Thu Mar 24 2005,8:30p,Cleveland Cavaliers,80,Houston Rockets,99,Box Score,,18208,
Thu Mar 24 2005,9:00p,Los Angeles Lakers,96,DEN,117,Box Score,,19866,
Thu Mar 24 2005,9:00p,Washington Wizards,85,Utah Jazz,84,Box Score,,17936,
Thu Mar 24 2005,10:00p,SEA,96,POR,91,Box Score,,17019,
Thu Mar 24 2005,10:00p,Dallas Mavericks,101,Sacramento Kings,109,Box Score,,17317,
Fri Mar 25 2005,7:00p,Toronto Raptors,101,Philadelphia 76ers,103,Box Score,,18521,
Fri Mar 25 2005,7:30p,Chicago Bulls,94,Boston Celtics,86,Box Score,,18624,
Fri Mar 25 2005,8:00p,Indiana Pacers,94,Detroit Pistons,81,Box Score,,22076,
Fri Mar 25 2005,8:00p,Phoenix Suns,115,Miami Heat,125,Box Score,,20278,
Fri Mar 25 2005,8:00p,Houston Rockets,81,New Orleans Hornets,68,Box Score,,15847,
Fri Mar 25 2005,8:30p,Atlanta Hawks,95,San Antonio Spurs,111,Box Score,,18797,
Fri Mar 25 2005,10:30p,Milwaukee Bucks,117,Golden State Warriors,118,Box Score,OT,16371,
Fri Mar 25 2005,10:30p,Washington Wizards,94,Los Angeles Clippers,98,Box Score,,19239,
Fri Mar 25 2005,10:30p,New York Knicks,101,SEA,109,Box Score,OT,17072,
Sat Mar 26 2005,1:00p,Minnesota Timberwolves,96,New Jersey Nets,75,Box Score,,17849,
Sat Mar 26 2005,7:00p,Toronto Raptors,109,Atlanta Hawks,104,Box Score,,16648,
Sat Mar 26 2005,7:00p,Miami Heat,92,Charlotte Bobcats,94,Box Score,,23319,
Sat Mar 26 2005,7:00p,Phoenix Suns,118,Orlando Magic,116,Box Score,,17283,
Sat Mar 26 2005,7:30p,Boston Celtics,99,Detroit Pistons,105,Box Score,OT,22076,
Sat Mar 26 2005,8:00p,New Orleans Hornets,96,Memphis Grizzlies,85,Box Score,,18119,
Sat Mar 26 2005,8:30p,Indiana Pacers,96,Chicago Bulls,100,Box Score,,22755,
Sat Mar 26 2005,8:30p,Cleveland Cavaliers,86,Dallas Mavericks,117,Box Score,,20435,
Sat Mar 26 2005,9:00p,Sacramento Kings,99,DEN,113,Box Score,,19729,
Sat Mar 26 2005,9:00p,Milwaukee Bucks,89,Utah Jazz,94,Box Score,,18677,
Sat Mar 26 2005,10:00p,New York Knicks,96,POR,103,Box Score,,15656,
Sun Mar 27 2005,1:00p,Houston Rockets,70,San Antonio Spurs,83,Box Score,,18797,
Sun Mar 27 2005,3:30p,Los Angeles Clippers,85,Minnesota Timberwolves,89,Box Score,,14007,
Sun Mar 27 2005,7:30p,Philadelphia 76ers,96,Los Angeles Lakers,89,Box Score,,18347,
Sun Mar 27 2005,8:00p,Washington Wizards,95,SEA,94,Box Score,,16333,
Mon Mar 28 2005,7:00p,New Jersey Nets,95,Charlotte Bobcats,91,Box Score,,11376,
Mon Mar 28 2005,7:00p,Atlanta Hawks,102,Orlando Magic,109,Box Score,,12124,
Mon Mar 28 2005,7:30p,Dallas Mavericks,95,Detroit Pistons,88,Box Score,,22076,
Mon Mar 28 2005,8:00p,Indiana Pacers,90,Milwaukee Bucks,76,Box Score,,14071,
Mon Mar 28 2005,8:00p,Cleveland Cavaliers,109,New Orleans Hornets,108,Box Score,OT,16118,
Mon Mar 28 2005,8:30p,Memphis Grizzlies,86,Chicago Bulls,94,Box Score,,21935,
Mon Mar 28 2005,9:00p,DEN,114,Phoenix Suns,123,Box Score,,18422,
Mon Mar 28 2005,9:00p,Houston Rockets,99,Utah Jazz,85,Box Score,,17136,
Mon Mar 28 2005,10:00p,Washington Wizards,114,POR,106,Box Score,,14514,
Mon Mar 28 2005,10:00p,Philadelphia 76ers,109,Sacramento Kings,118,Box Score,,17317,
Mon Mar 28 2005,10:30p,New York Knicks,100,Golden State Warriors,108,Box Score,,15734,
Tue Mar 29 2005,7:00p,Los Angeles Clippers,84,Cleveland Cavaliers,94,Box Score,,20562,
Tue Mar 29 2005,7:30p,Toronto Raptors,91,Miami Heat,103,Box Score,,20197,
Tue Mar 29 2005,8:00p,SEA,102,Memphis Grizzlies,99,Box Score,,17256,
Tue Mar 29 2005,10:30p,New York Knicks,107,Los Angeles Lakers,117,Box Score,,18997,
Wed Mar 30 2005,7:00p,Dallas Mavericks,112,Boston Celtics,100,Box Score,,18624,
Wed Mar 30 2005,7:00p,Chicago Bulls,102,Charlotte Bobcats,99,Box Score,,12606,
Wed Mar 30 2005,7:00p,Toronto Raptors,96,Orlando Magic,108,Box Score,,12410,
Wed Mar 30 2005,7:00p,Atlanta Hawks,99,Washington Wizards,102,Box Score,,14815,
Wed Mar 30 2005,7:30p,Sacramento Kings,82,Detroit Pistons,99,Box Score,,22076,
Wed Mar 30 2005,7:30p,Los Angeles Clippers,78,New Jersey Nets,95,Box Score,,15157,
Wed Mar 30 2005,8:00p,Golden State Warriors,113,Milwaukee Bucks,109,Box Score,,14936,
Wed Mar 30 2005,8:30p,SEA,76,San Antonio Spurs,89,Box Score,,18797,
Wed Mar 30 2005,9:00p,DEN,109,Utah Jazz,98,Box Score,,17444,
Wed Mar 30 2005,10:00p,Philadelphia 76ers,87,Phoenix Suns,116,Box Score,,18422,
Wed Mar 30 2005,10:00p,Houston Rockets,100,POR,84,Box Score,,17840,
Thu Mar 31 2005,8:00p,Cleveland Cavaliers,90,Chicago Bulls,102,Box Score,OT,22678,
Thu Mar 31 2005,8:00p,Miami Heat,108,Indiana Pacers,114,Box Score,OT,18345,
Thu Mar 31 2005,10:30p,Minnesota Timberwolves,105,Los Angeles Lakers,96,Box Score,,18997,
Fri Apr 1 2005,7:00p,Toronto Raptors,119,Charlotte Bobcats,107,Box Score,,13550,
Fri Apr 1 2005,7:00p,Washington Wizards,111,Orlando Magic,102,Box Score,,14107,
Fri Apr 1 2005,7:00p,Dallas Mavericks,100,Philadelphia 76ers,83,Box Score,,20464,
Fri Apr 1 2005,7:30p,Boston Celtics,116,Atlanta Hawks,100,Box Score,,16602,
Fri Apr 1 2005,8:00p,Sacramento Kings,128,Cleveland Cavaliers,109,Box Score,,20562,
Fri Apr 1 2005,8:00p,Los Angeles Clippers,84,Detroit Pistons,97,Box Score,,22076,
Fri Apr 1 2005,8:00p,New Jersey Nets,93,New York Knicks,91,Box Score,,19763,
Fri Apr 1 2005,8:30p,New Orleans Hornets,76,Houston Rockets,73,Box Score,,18148,
Fri Apr 1 2005,8:30p,Memphis Grizzlies,93,Milwaukee Bucks,82,Box Score,,14983,
Fri Apr 1 2005,9:00p,Minnesota Timberwolves,98,Phoenix Suns,107,Box Score,,18422,
Fri Apr 1 2005,9:00p,Golden State Warriors,108,Utah Jazz,91,Box Score,,18544,
Fri Apr 1 2005,10:30p,San Antonio Spurs,84,DEN,102,Box Score,,19730,
Fri Apr 1 2005,10:30p,POR,87,SEA,89,Box Score,,17072,
Sat Apr 2 2005,7:30p,Orlando Magic,103,New Jersey Nets,102,Box Score,,15342,
Sat Apr 2 2005,8:00p,Miami Heat,111,New Orleans Hornets,99,Box Score,,18582,
Sat Apr 2 2005,8:30p,Charlotte Bobcats,97,Chicago Bulls,112,Box Score,,22074,
Sat Apr 2 2005,8:30p,Los Angeles Lakers,94,San Antonio Spurs,95,Box Score,,18797,
Sat Apr 2 2005,10:00p,DEN,103,POR,97,Box Score,,17638,
Sun Apr 3 2005,1:00p,Philadelphia 76ers,97,Boston Celtics,93,Box Score,,18624,
Sun Apr 3 2005,1:00p,Indiana Pacers,79,Washington Wizards,76,Box Score,,20173,
Sun Apr 3 2005,2:00p,New York Knicks,102,Milwaukee Bucks,106,Box Score,,15201,
Sun Apr 3 2005,3:30p,Dallas Mavericks,80,Cleveland Cavaliers,100,Box Score,,20562,
Sun Apr 3 2005,3:30p,Minnesota Timberwolves,112,Sacramento Kings,100,Box Score,,17317,
Sun Apr 3 2005,6:00p,Los Angeles Clippers,111,Atlanta Hawks,91,Box Score,,11508,
Sun Apr 3 2005,6:00p,SEA,92,Golden State Warriors,101,Box Score,,17296,
Sun Apr 3 2005,6:00p,Detroit Pistons,113,Toronto Raptors,103,Box Score,,19800,
Sun Apr 3 2005,8:00p,Los Angeles Lakers,82,Memphis Grizzlies,102,Box Score,,18119,
Sun Apr 3 2005,8:30p,Phoenix Suns,91,Houston Rockets,78,Box Score,,18203,
Tue Apr 5 2005,7:00p,Los Angeles Clippers,104,Charlotte Bobcats,102,Box Score,,9580,
Tue Apr 5 2005,7:00p,New Jersey Nets,111,Cleveland Cavaliers,80,Box Score,,18668,
Tue Apr 5 2005,7:00p,Boston Celtics,116,Washington Wizards,108,Box Score,,14902,
Tue Apr 5 2005,7:30p,New Orleans Hornets,96,Atlanta Hawks,86,Box Score,,11500,
Tue Apr 5 2005,7:30p,Chicago Bulls,86,Miami Heat,104,Box Score,,20206,
Tue Apr 5 2005,7:30p,Indiana Pacers,97,New York Knicks,79,Box Score,,19763,
Tue Apr 5 2005,8:00p,DEN,94,Memphis Grizzlies,91,Box Score,,18119,
Tue Apr 5 2005,8:30p,Orlando Magic,105,Dallas Mavericks,114,Box Score,,19969,
Tue Apr 5 2005,9:00p,POR,79,Utah Jazz,90,Box Score,,17443,
Tue Apr 5 2005,10:00p,Los Angeles Lakers,99,Phoenix Suns,125,Box Score,,18422,
Tue Apr 5 2005,10:00p,SEA,101,Sacramento Kings,122,Box Score,,17317,
Tue Apr 5 2005,10:30p,Houston Rockets,117,Golden State Warriors,122,Box Score,,16638,
Wed Apr 6 2005,7:00p,Milwaukee Bucks,97,Boston Celtics,103,Box Score,,17210,
Wed Apr 6 2005,7:00p,Cleveland Cavaliers,77,Indiana Pacers,98,Box Score,,17260,
Wed Apr 6 2005,7:00p,Chicago Bulls,102,Orlando Magic,101,Box Score,OT,13847,
Wed Apr 6 2005,7:00p,Charlotte Bobcats,103,Philadelphia 76ers,106,Box Score,,16209,
Wed Apr 6 2005,7:00p,Memphis Grizzlies,104,Toronto Raptors,74,Box Score,,14964,
Wed Apr 6 2005,7:30p,Washington Wizards,93,Detroit Pistons,105,Box Score,,22076,
Wed Apr 6 2005,8:00p,DEN,94,New Orleans Hornets,83,Box Score,,14654,
Wed Apr 6 2005,8:30p,Los Angeles Clippers,82,San Antonio Spurs,91,Box Score,,18797,
Wed Apr 6 2005,9:30p,Utah Jazz,86,Minnesota Timberwolves,111,Box Score,,15022,
Wed Apr 6 2005,10:00p,Golden State Warriors,104,POR,102,Box Score,,16129,
Thu Apr 7 2005,7:30p,New York Knicks,98,New Jersey Nets,110,Box Score,,17533,
Thu Apr 7 2005,8:00p,San Antonio Spurs,68,Dallas Mavericks,104,Box Score,,20418,
Thu Apr 7 2005,10:30p,Houston Rockets,114,Los Angeles Lakers,100,Box Score,,18212,
Fri Apr 8 2005,7:00p,Detroit Pistons,114,Orlando Magic,102,Box Score,,17283,
Fri Apr 8 2005,7:00p,Cleveland Cavaliers,98,Philadelphia 76ers,103,Box Score,,20800,
Fri Apr 8 2005,7:00p,Atlanta Hawks,101,Toronto Raptors,109,Box Score,OT,14352,
Fri Apr 8 2005,8:00p,Washington Wizards,83,Indiana Pacers,93,Box Score,,18345,
Fri Apr 8 2005,8:00p,Miami Heat,81,Memphis Grizzlies,97,Box Score,,18119,
Fri Apr 8 2005,8:00p,Utah Jazz,98,New Orleans Hornets,87,Box Score,,13860,
Fri Apr 8 2005,8:00p,Chicago Bulls,102,New York Knicks,94,Box Score,,19763,
Fri Apr 8 2005,8:30p,Charlotte Bobcats,75,Milwaukee Bucks,93,Box Score,,15274,
Fri Apr 8 2005,9:30p,DEN,107,Minnesota Timberwolves,104,Box Score,,19904,
Fri Apr 8 2005,10:00p,Sacramento Kings,119,POR,115,Box Score,,17539,
Fri Apr 8 2005,10:30p,Phoenix Suns,119,Golden State Warriors,127,Box Score,,20043,
Fri Apr 8 2005,10:30p,Los Angeles Lakers,117,SEA,94,Box Score,,17072,
Sat Apr 9 2005,1:00p,Boston Celtics,86,New Jersey Nets,99,Box Score,,15103,
Sat Apr 9 2005,7:00p,Minnesota Timberwolves,98,Atlanta Hawks,105,Box Score,,17583,
Sat Apr 9 2005,7:00p,Philadelphia 76ers,112,Washington Wizards,106,Box Score,,20173,
Sat Apr 9 2005,7:30p,Milwaukee Bucks,81,Cleveland Cavaliers,98,Box Score,,20562,
