Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Nov 23 2004,7:30p,Atlanta Hawks,88,New York Knicks,104,Box Score,,17952,
Tue Nov 23 2004,8:00p,SEA,103,Minnesota Timberwolves,92,Box Score,,16129,
Tue Nov 23 2004,9:00p,New Jersey Nets,88,DEN,90,Box Score,,13448,
Tue Nov 23 2004,10:00p,Houston Rockets,96,Sacramento Kings,102,Box Score,,17317,
Tue Nov 23 2004,10:30p,New Orleans Hornets,109,Golden State Warriors,115,Box Score,3OT,15362,
Tue Nov 23 2004,10:30p,Milwaukee Bucks,96,Los Angeles Lakers,100,Box Score,,18215,
Wed Nov 24 2004,7:00p,Detroit Pistons,76,Cleveland Cavaliers,92,Box Score,,19192,
Wed Nov 24 2004,7:00p,POR,89,Orlando Magic,83,Box Score,,13438,
Wed Nov 24 2004,7:00p,Boston Celtics,97,Philadelphia 76ers,110,Box Score,,14901,
Wed Nov 24 2004,7:00p,New York Knicks,91,Toronto Raptors,114,Box Score,,18192,
Wed Nov 24 2004,7:30p,Miami Heat,99,Atlanta Hawks,93,Box Score,,14590,
Wed Nov 24 2004,8:00p,SEA,93,Memphis Grizzlies,84,Box Score,,15542,
Wed Nov 24 2004,8:30p,Dallas Mavericks,80,San Antonio Spurs,94,Box Score,,18797,
Wed Nov 24 2004,9:00p,Milwaukee Bucks,104,Phoenix Suns,111,Box Score,,15088,
Wed Nov 24 2004,9:00p,Chicago Bulls,101,Utah Jazz,99,Box Score,,18563,
Thu Nov 25 2004,8:00p,Minnesota Timberwolves,102,Indiana Pacers,106,Box Score,,17149,
Thu Nov 25 2004,10:30p,New Jersey Nets,88,Los Angeles Clippers,101,Box Score,,12629,
Fri Nov 26 2004,1:00p,POR,83,Dallas Mavericks,92,Box Score,,20179,
Fri Nov 26 2004,1:00p,Washington Wizards,114,Philadelphia 76ers,116,Box Score,OT,17516,
Fri Nov 26 2004,7:30p,Orlando Magic,117,Atlanta Hawks,99,Box Score,,10947,
Fri Nov 26 2004,7:30p,Cleveland Cavaliers,98,Boston Celtics,96,Box Score,,18624,
Fri Nov 26 2004,8:00p,Miami Heat,77,Detroit Pistons,78,Box Score,,22076,
Fri Nov 26 2004,8:00p,Charlotte Bobcats,77,Indiana Pacers,82,Box Score,,17441,
Fri Nov 26 2004,8:00p,Memphis Grizzlies,90,Minnesota Timberwolves,115,Box Score,,17985,
Fri Nov 26 2004,9:00p,San Antonio Spurs,89,DEN,75,Box Score,,19099,
Fri Nov 26 2004,9:00p,New Orleans Hornets,86,Phoenix Suns,95,Box Score,,17986,
Fri Nov 26 2004,9:00p,Houston Rockets,80,Utah Jazz,90,Box Score,,19519,
Fri Nov 26 2004,10:30p,Los Angeles Clippers,98,Golden State Warriors,87,Box Score,,16564,
Fri Nov 26 2004,10:30p,Sacramento Kings,109,Los Angeles Lakers,106,Box Score,,18997,
Fri Nov 26 2004,10:30p,New Jersey Nets,79,SEA,92,Box Score,,17072,
Sat Nov 27 2004,1:00p,Toronto Raptors,102,New York Knicks,108,Box Score,,19763,
Sat Nov 27 2004,7:00p,Atlanta Hawks,92,Charlotte Bobcats,107,Box Score,,13695,
Sat Nov 27 2004,7:00p,Philadelphia 76ers,99,Orlando Magic,105,Box Score,,16889,
Sat Nov 27 2004,7:30p,Chicago Bulls,74,Cleveland Cavaliers,96,Box Score,,19763,
Sat Nov 27 2004,8:00p,Dallas Mavericks,98,Memphis Grizzlies,85,Box Score,,18119,
Sat Nov 27 2004,8:30p,DEN,82,Houston Rockets,76,Box Score,,18145,
Sat Nov 27 2004,8:30p,Utah Jazz,76,San Antonio Spurs,109,Box Score,,17543,
Sat Nov 27 2004,9:00p,Detroit Pistons,90,Milwaukee Bucks,96,Box Score,,16824,
Sun Nov 28 2004,3:00p,Washington Wizards,114,Toronto Raptors,109,Box Score,OT,16121,
Sun Nov 28 2004,3:30p,Golden State Warriors,91,Los Angeles Clippers,103,Box Score,,14567,
Sun Nov 28 2004,6:00p,Boston Celtics,104,Miami Heat,106,Box Score,,19600,
Sun Nov 28 2004,6:00p,New Jersey Nets,71,POR,83,Box Score,,14263,
Sun Nov 28 2004,9:00p,Minnesota Timberwolves,121,Sacramento Kings,110,Box Score,,17317,
Sun Nov 28 2004,9:00p,Indiana Pacers,95,SEA,103,Box Score,,14808,
Sun Nov 28 2004,9:30p,New Orleans Hornets,76,Los Angeles Lakers,89,Box Score,,18997,
Mon Nov 29 2004,7:00p,Boston Celtics,117,Orlando Magic,101,Box Score,,12124,
Mon Nov 29 2004,9:00p,New Orleans Hornets,67,DEN,76,Box Score,,13119,
Mon Nov 29 2004,10:30p,Cleveland Cavaliers,82,Los Angeles Clippers,94,Box Score,,16465,
Tue Nov 30 2004,7:30p,New York Knicks,110,Atlanta Hawks,109,Box Score,OT,10879,
Tue Nov 30 2004,7:30p,Toronto Raptors,94,Miami Heat,92,Box Score,,18993,
Tue Nov 30 2004,7:30p,Charlotte Bobcats,86,New Jersey Nets,99,Box Score,,11921,
Tue Nov 30 2004,8:00p,Sacramento Kings,98,Memphis Grizzlies,93,Box Score,,14192,
Tue Nov 30 2004,8:00p,Los Angeles Lakers,95,Milwaukee Bucks,90,Box Score,,14975,
Tue Nov 30 2004,8:30p,San Antonio Spurs,107,Dallas Mavericks,89,Box Score,,19455,
Tue Nov 30 2004,8:30p,Detroit Pistons,93,Houston Rockets,72,Box Score,,15330,
Tue Nov 30 2004,9:00p,Phoenix Suns,115,Utah Jazz,102,Box Score,,17336,
Tue Nov 30 2004,10:00p,SEA,94,POR,100,Box Score,,15128,
Wed Dec 1 2004,7:00p,Milwaukee Bucks,100,Boston Celtics,101,Box Score,,13180,
Wed Dec 1 2004,7:00p,Toronto Raptors,108,Orlando Magic,129,Box Score,,12175,
Wed Dec 1 2004,7:00p,New Jersey Nets,68,Washington Wizards,95,Box Score,,15805,
Wed Dec 1 2004,7:30p,Memphis Grizzlies,82,New York Knicks,90,Box Score,,17858,
Wed Dec 1 2004,8:00p,Sacramento Kings,94,New Orleans Hornets,81,Box Score,,12133,
Wed Dec 1 2004,8:30p,Los Angeles Lakers,84,Chicago Bulls,92,Box Score,,18524,
Wed Dec 1 2004,8:30p,Philadelphia 76ers,72,San Antonio Spurs,105,Box Score,,17566,
Wed Dec 1 2004,9:00p,Cleveland Cavaliers,101,Phoenix Suns,120,Box Score,,14795,
Wed Dec 1 2004,10:00p,Utah Jazz,119,SEA,129,Box Score,OT,16066,
Wed Dec 1 2004,10:30p,Minnesota Timberwolves,107,Golden State Warriors,99,Box Score,,15706,
Wed Dec 1 2004,10:30p,Indiana Pacers,76,Los Angeles Clippers,88,Box Score,,13587,
Thu Dec 2 2004,8:00p,Houston Rockets,106,Dallas Mavericks,113,Box Score,OT,19524,
Thu Dec 2 2004,10:30p,Cleveland Cavaliers,92,DEN,73,Box Score,,19152,
Fri Dec 3 2004,7:30p,Washington Wizards,114,Atlanta Hawks,90,Box Score,,7887,
Fri Dec 3 2004,7:30p,Toronto Raptors,89,Boston Celtics,91,Box Score,,15201,
Fri Dec 3 2004,7:30p,Orlando Magic,104,New York Knicks,98,Box Score,,19763,
Fri Dec 3 2004,8:00p,Philadelphia 76ers,86,Memphis Grizzlies,94,Box Score,,16806,
Fri Dec 3 2004,8:00p,Detroit Pistons,77,San Antonio Spurs,80,Box Score,,18797,
Fri Dec 3 2004,8:30p,Miami Heat,105,Chicago Bulls,81,Box Score,,18860,
Fri Dec 3 2004,9:00p,Minnesota Timberwolves,97,Phoenix Suns,93,Box Score,,16915,
Fri Dec 3 2004,10:30p,Golden State Warriors,88,Los Angeles Lakers,97,Box Score,,18997,
Fri Dec 3 2004,10:30p,Indiana Pacers,87,Sacramento Kings,113,Box Score,,17317,
Sat Dec 4 2004,7:00p,New York Knicks,101,Charlotte Bobcats,107,Box Score,,18858,
Sat Dec 4 2004,7:00p,Memphis Grizzlies,91,Orlando Magic,96,Box Score,,14518,
Sat Dec 4 2004,7:30p,Toronto Raptors,97,Cleveland Cavaliers,105,Box Score,,19205,
Sat Dec 4 2004,7:30p,Atlanta Hawks,88,New Jersey Nets,109,Box Score,,14745,
Sat Dec 4 2004,8:00p,Detroit Pistons,92,New Orleans Hornets,69,Box Score,,14910,
Sat Dec 4 2004,8:00p,Chicago Bulls,88,Washington Wizards,95,Box Score,,16332,
Sat Dec 4 2004,8:30p,Utah Jazz,86,Dallas Mavericks,109,Box Score,,19845,
Sat Dec 4 2004,8:30p,Philadelphia 76ers,76,Houston Rockets,77,Box Score,,16643,
Sat Dec 4 2004,8:30p,San Antonio Spurs,104,Milwaukee Bucks,83,Box Score,,17812,
Sat Dec 4 2004,9:00p,Miami Heat,95,DEN,104,Box Score,,18282,
Sat Dec 4 2004,10:30p,Indiana Pacers,96,Golden State Warriors,104,Box Score,,14747,
Sat Dec 4 2004,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,100,Box Score,OT,17587,
Sat Dec 4 2004,10:30p,POR,89,SEA,99,Box Score,,17072,
Sun Dec 5 2004,9:00p,Phoenix Suns,121,POR,99,Box Score,,16128,
Sun Dec 5 2004,9:00p,Boston Celtics,105,Sacramento Kings,119,Box Score,,17317,
Mon Dec 6 2004,7:30p,Philadelphia 76ers,92,Atlanta Hawks,96,Box Score,,9173,
Mon Dec 6 2004,7:30p,Toronto Raptors,86,New Jersey Nets,88,Box Score,,11227,
Mon Dec 6 2004,8:30p,San Antonio Spurs,91,Chicago Bulls,75,Box Score,,16353,
Mon Dec 6 2004,8:30p,Detroit Pistons,101,Dallas Mavericks,85,Box Score,,19576,
Mon Dec 6 2004,9:00p,Orlando Magic,102,DEN,115,Box Score,,14912,
Mon Dec 6 2004,9:00p,Miami Heat,100,Utah Jazz,80,Box Score,,18245,
Mon Dec 6 2004,10:30p,Boston Celtics,106,Golden State Warriors,110,Box Score,,14038,
Mon Dec 6 2004,10:30p,Charlotte Bobcats,93,Los Angeles Clippers,99,Box Score,2OT,14065,
Tue Dec 7 2004,7:00p,New Jersey Nets,97,Cleveland Cavaliers,103,Box Score,,16556,
Tue Dec 7 2004,7:00p,Milwaukee Bucks,89,Indiana Pacers,86,Box Score,,15251,
Tue Dec 7 2004,8:00p,New York Knicks,88,Memphis Grizzlies,96,Box Score,,15241,
Tue Dec 7 2004,8:00p,Dallas Mavericks,97,Minnesota Timberwolves,87,Box Score,,16235,
Tue Dec 7 2004,8:30p,New Orleans Hornets,81,Houston Rockets,89,Box Score,,10923,
Tue Dec 7 2004,9:00p,Golden State Warriors,104,Phoenix Suns,118,Box Score,,14272,
Tue Dec 7 2004,10:00p,Charlotte Bobcats,92,Sacramento Kings,109,Box Score,,17317,
